sic_code,sic_group_name,fama_sic_start,fama_sic_end,sic_fama_desc,fama_ind49,fama_grpdesc
700,Industrial Applications and Services,700,799,Agricultural services,1,Agric Agriculture
711,Soil Preparation Services,700,799,Agricultural services,1,Agric Agriculture
721,"Crop Planting, Cultivating, and Protecting",700,799,Agricultural services,1,Agric Agriculture
722,"Crop Harvesting, Primarily by Machine",700,799,Agricultural services,1,Agric Agriculture
723,"Crop Preparation Services for Market, Except Cotton Ginning",700,799,Agricultural services,1,Agric Agriculture
724,Cotton Ginning,700,799,Agricultural services,1,Agric Agriculture
741,Veterinary Services for Livestock,700,799,Agricultural services,1,Agric Agriculture
742,Veterinary Services for Animal Specialties,700,799,Agricultural services,1,Agric Agriculture
751,"Livestock Services, Except Veterinary",700,799,Agricultural services,1,Agric Agriculture
752,"Animal Specialty Services, Except Veterinary",700,799,Agricultural services,1,Agric Agriculture
761,Farm Labor Contractors and Crew Leaders,700,799,Agricultural services,1,Agric Agriculture
762,Farm Management Services,700,799,Agricultural services,1,Agric Agriculture
781,Landscape Counseling and Planning,700,799,Agricultural services,1,Agric Agriculture
782,Lawn and Garden Services,700,799,Agricultural services,1,Agric Agriculture
783,Ornamental Shrub and Tree Services,700,799,Agricultural services,1,Agric Agriculture
912,Finfish,910,919,Commercial fishing,1,Agric Agriculture
913,Shellfish,910,919,Commercial fishing,1,Agric Agriculture
919,Miscellaneous Marine Products,910,919,Commercial fishing,1,Agric Agriculture
2048,"Prepared Feed and Feed Ingredients for Animals and Fowls, Except Dogs and Cats",2048,2048,Prepared feeds for animals,1,Agric Agriculture
2000,Office of Manufacturing,2000,2009,Food and kindred products,2,Food Food Products
2011,Meat Packing Plants,2010,2019,Meat products,2,Food Food Products
2011,Office of Manufacturing,2010,2019,Meat products,2,Food Food Products
2013,Sausages and Other Prepared Meat Products,2010,2019,Meat products,2,Food Food Products
2013,Office of Manufacturing,2010,2019,Meat products,2,Food Food Products
2015,Poultry Slaughtering and Processing,2010,2019,Meat products,2,Food Food Products
2015,Office of Manufacturing,2010,2019,Meat products,2,Food Food Products
2020,Office of Manufacturing,2020,2029,Dairy products,2,Food Food Products
2021,Creamery Butter,2020,2029,Dairy products,2,Food Food Products
2022,"Natural, Processed, and Imitation Cheese",2020,2029,Dairy products,2,Food Food Products
2023,"Dry, Condensed, and Evaporated Dairy Products",2020,2029,Dairy products,2,Food Food Products
2024,Ice Cream and Frozen Desserts,2020,2029,Dairy products,2,Food Food Products
2024,Office of Manufacturing,2020,2029,Dairy products,2,Food Food Products
2026,Fluid Milk,2020,2029,Dairy products,2,Food Food Products
2030,Office of Manufacturing,2030,2039,Canned & preserved fruits & vegetables,2,Food Food Products
2032,Canned Specialties,2030,2039,Canned & preserved fruits & vegetables,2,Food Food Products
2033,"Canned Fruits, Vegetables, Preserves, Jams, and Jellies",2030,2039,Canned & preserved fruits & vegetables,2,Food Food Products
2033,Office of Manufacturing,2030,2039,Canned & preserved fruits & vegetables,2,Food Food Products
2034,"Dried and Dehydrated Fruits, Vegetables, and Soup Mixes",2030,2039,Canned & preserved fruits & vegetables,2,Food Food Products
2035,"Pickled Fruits and Vegetables, Vegetable Sauces and Seasonings, and Salad Dressings",2030,2039,Canned & preserved fruits & vegetables,2,Food Food Products
2037,"Frozen Fruits, Fruit Juices, and Vegetables",2030,2039,Canned & preserved fruits & vegetables,2,Food Food Products
2038,"Frozen Specialties, Not Elsewhere Classified",2030,2039,Canned & preserved fruits & vegetables,2,Food Food Products
2040,Office of Manufacturing,2040,2046,Flour and other grain mill products,2,Food Food Products
2041,Flour and Other Grain Mill Products,2040,2046,Flour and other grain mill products,2,Food Food Products
2043,Cereal Breakfast Foods,2040,2046,Flour and other grain mill products,2,Food Food Products
2044,Rice Milling,2040,2046,Flour and other grain mill products,2,Food Food Products
2045,Prepared Flour Mixes and Doughs,2040,2046,Flour and other grain mill products,2,Food Food Products
2046,Wet Corn Milling,2040,2046,Flour and other grain mill products,2,Food Food Products
2050,Office of Manufacturing,2050,2059,Bakery products,2,Food Food Products
2051,"Bread and Other Bakery Products, Except Cookies and Crackers",2050,2059,Bakery products,2,Food Food Products
2052,Cookies and Crackers,2050,2059,Bakery products,2,Food Food Products
2052,Office of Manufacturing,2050,2059,Bakery products,2,Food Food Products
2053,"Frozen Bakery Products, Except Bread",2050,2059,Bakery products,2,Food Food Products
2060,Office of Manufacturing,2060,2063,Sugar and confectionery products,2,Food Food Products
2061,"Cane Sugar, Except Refining",2060,2063,Sugar and confectionery products,2,Food Food Products
2062,Cane Sugar Refining,2060,2063,Sugar and confectionery products,2,Food Food Products
2063,Beet Sugar,2060,2063,Sugar and confectionery products,2,Food Food Products
2070,Office of Manufacturing,2070,2079,Fats and oils,2,Food Food Products
2074,Cottonseed Oil Mills,2070,2079,Fats and oils,2,Food Food Products
2075,Soybean Oil Mills,2070,2079,Fats and oils,2,Food Food Products
2076,"Vegetable Oil Mills, Except Corn, Cottonseed, and Soybean",2070,2079,Fats and oils,2,Food Food Products
2077,Animal and Marine Fats and Oils,2070,2079,Fats and oils,2,Food Food Products
2079,"Shortening, Table Oils, Margarine, and Other Edible Fats and Oils, Not Elsewhere Classified",2070,2079,Fats and oils,2,Food Food Products
2090,Office of Manufacturing,2090,2092,Misc food preparations and kindred products,2,Food Food Products
2091,Canned and Cured Fish and Seafoods,2090,2092,Misc food preparations and kindred products,2,Food Food Products
2092,Prepared Fresh or Frozen Fish and Seafoods,2090,2092,Misc food preparations and kindred products,2,Food Food Products
2092,Office of Manufacturing,2090,2092,Misc food preparations and kindred products,2,Food Food Products
2095,Roasted Coffee,2095,2095,Roasted coffee,2,Food Food Products
2098,"Macaroni, Spaghetti, Vermicelli, and Noodles",2098,2099,Misc food preparations,2,Food Food Products
2099,"Food Preparations, Not Elsewhere Classified",2098,2099,Misc food preparations,2,Food Food Products
2064,Candy and Other Confectionery Products,2064,2068,Candy and other confectionery,3,Soda Candy & Soda
2066,Chocolate and Cocoa Products,2064,2068,Candy and other confectionery,3,Soda Candy & Soda
2067,Chewing Gum,2064,2068,Candy and other confectionery,3,Soda Candy & Soda
2068,Salted and Roasted Nuts and Seeds,2064,2068,Candy and other confectionery,3,Soda Candy & Soda
2086,Bottled and Canned Soft Drinks and Carbonated Waters,2086,2086,Bottled-canned soft drinks,3,Soda Candy & Soda
2086,Office of Manufacturing,2086,2086,Bottled-canned soft drinks,3,Soda Candy & Soda
2087,"Flavoring Extracts and Flavoring Syrups, Not Elsewhere Classified",2087,2087,Flavoring syrup,3,Soda Candy & Soda
2096,"Potato Chips, Corn Chips, and Similar Snacks",2096,2096,Potato chips,3,Soda Candy & Soda
2097,Manufactured Ice,2097,2097,Manufactured ice,3,Soda Candy & Soda
2080,Office of Manufacturing,2080,2080,Beverages,4,Beer Beer & Liquor
2082,Malt Beverages,2082,2082,Malt beverages,4,Beer Beer & Liquor
2082,Office of Manufacturing,2082,2082,Malt beverages,4,Beer Beer & Liquor
2083,Malt,2083,2083,Malt,4,Beer Beer & Liquor
2084,"Wines, Brandy, and Brandy Spirits",2084,2084,Wine,4,Beer Beer & Liquor
2085,Distilled and Blended Liquors,2085,2085,Distilled and blended liquors,4,Beer Beer & Liquor
2100,Office of Manufacturing,2100,2199,Tobacco products,5,Smoke Tobacco Products
2111,Cigarettes,2100,2199,Tobacco products,5,Smoke Tobacco Products
2111,Office of Manufacturing,2100,2199,Tobacco products,5,Smoke Tobacco Products
2121,Cigars,2100,2199,Tobacco products,5,Smoke Tobacco Products
2131,Chewing and Smoking Tobacco and Snuff,2100,2199,Tobacco products,5,Smoke Tobacco Products
2141,Tobacco Stemming and Redrying,2100,2199,Tobacco products,5,Smoke Tobacco Products
921,Fish Hatcheries and Preserves,920,999,"Fishing, hunting & trapping",6,Toys Recreation
971,"Hunting and Trapping, and Game Propagation",920,999,"Fishing, hunting & trapping",6,Toys Recreation
3651,Household Audio and Video Equipment,3650,3651,Household audio visual equipment,6,Toys Recreation
3651,Office of Manufacturing,3650,3651,Household audio visual equipment,6,Toys Recreation
3652,Phonograph Records and Prerecorded Audio Tapes and Disks,3652,3652,Phonograph records,6,Toys Recreation
3652,Office of Manufacturing,3652,3652,Phonograph records,6,Toys Recreation
3732,Boat Building and Repairing,3732,3732,Boat building and repairing,6,Toys Recreation
3931,Musical Instruments,3930,3931,Musical instruments,6,Toys Recreation
3931,Office of Manufacturing,3930,3931,Musical instruments,6,Toys Recreation
3942,Dolls and Stuffed Toys,3940,3949,Toys,6,Toys Recreation
3942,Office of Manufacturing,3940,3949,Toys,6,Toys Recreation
3944,"Games, Toys, and Children's Vehicles, Except Dolls and Bicycles",3940,3949,Toys,6,Toys Recreation
3944,Office of Manufacturing,3940,3949,Toys,6,Toys Recreation
3949,"Sporting and Athletic Goods, Not Elsewhere Classified",3940,3949,Toys,6,Toys Recreation
3949,Office of Manufacturing,3940,3949,Toys,6,Toys Recreation
7812,Motion Picture and Video Tape Production,7800,7829,Services - motion picture production and distribution,7,Fun Entertainment
7812,Office of Trade & Services,7800,7829,Services - motion picture production and distribution,7,Fun Entertainment
7819,Services Allied to Motion Picture Production,7800,7829,Services - motion picture production and distribution,7,Fun Entertainment
7819,Office of Trade & Services,7800,7829,Services - motion picture production and distribution,7,Fun Entertainment
7822,Motion Picture and Video Tape Distribution,7800,7829,Services - motion picture production and distribution,7,Fun Entertainment
7822,Office of Trade & Services,7800,7829,Services - motion picture production and distribution,7,Fun Entertainment
7829,Services Allied to Motion Picture Distribution,7800,7829,Services - motion picture production and distribution,7,Fun Entertainment
7829,Office of Trade & Services,7800,7829,Services - motion picture production and distribution,7,Fun Entertainment
7830,Office of Trade & Services,7830,7833,Services - motion picture theaters,7,Fun Entertainment
7832,"Motion Picture Theaters, Except Drive-In",7830,7833,Services - motion picture theaters,7,Fun Entertainment
7833,Drive-In Motion Picture Theaters,7830,7833,Services - motion picture theaters,7,Fun Entertainment
7841,Video Tape Rental,7840,7841,Services - video rental,7,Fun Entertainment
7841,Office of Trade & Services,7840,7841,Services - video rental,7,Fun Entertainment
7900,Office of Trade & Services,7900,7900,Services - amusement and recreation,7,Fun Entertainment
7911,"Dance Studios, Schools, and Halls",7910,7911,Services - dance studios,7,Fun Entertainment
7922,Theatrical Producers (Except Motion Picture) and Miscellaneous Theatrical Services,7920,7929,"Services - bands, entertainers",7,Fun Entertainment
7929,"Bands, Orchestras, Actors, and Other Entertainers and Entertainment Groups",7920,7929,"Services - bands, entertainers",7,Fun Entertainment
7933,Bowling Centers,7930,7933,Services - bowling centers,7,Fun Entertainment
7941,Professional Sports Clubs and Promoters,7940,7949,Services - professional sports,7,Fun Entertainment
7948,"Racing, Including Track Operation",7940,7949,Services - professional sports,7,Fun Entertainment
7948,Office of Trade & Services,7940,7949,Services - professional sports,7,Fun Entertainment
7990,Office of Trade & Services,7990,7999,Services - Misc entertainment,7,Fun Entertainment
7991,Physical Fitness Facilities,7990,7999,Services - Misc entertainment,7,Fun Entertainment
7992,Public Golf Courses,7990,7999,Services - Misc entertainment,7,Fun Entertainment
7993,Coin-Operated Amusement Devices,7990,7999,Services - Misc entertainment,7,Fun Entertainment
7994,Services-Video Game Arcades,7990,7999,Services - Misc entertainment,7,Fun Entertainment
7995,Services-Gambling Transactions,7990,7999,Services - Misc entertainment,7,Fun Entertainment
7996,Amusement Parks,7990,7999,Services - Misc entertainment,7,Fun Entertainment
7996,Services-Amusement Parks,7990,7999,Services - Misc entertainment,7,Fun Entertainment
7997,Membership Sports and Recreation Clubs,7990,7999,Services - Misc entertainment,7,Fun Entertainment
7997,Office of Trade & Services,7990,7999,Services - Misc entertainment,7,Fun Entertainment
7999,"Amusement and Recreation Services, Not Elsewhere Classified",7990,7999,Services - Misc entertainment,7,Fun Entertainment
2711,"Newspapers: Publishing, or Publishing and Printing",2710,2719,Newspapers: publishing-printing,8,Books Printing and Publishing
2711,Office of Manufacturing,2710,2719,Newspapers: publishing-printing,8,Books Printing and Publishing
2721,"Periodicals: Publishing, or Publishing and Printing",2720,2729,Periodicals: publishing-printing,8,Books Printing and Publishing
2721,Office of Manufacturing,2720,2729,Periodicals: publishing-printing,8,Books Printing and Publishing
2731,"Books: Publishing, or Publishing and Printing",2730,2739,Books: publishing-printing,8,Books Printing and Publishing
2731,Office of Manufacturing,2730,2739,Books: publishing-printing,8,Books Printing and Publishing
2732,Book Printing,2730,2739,Books: publishing-printing,8,Books Printing and Publishing
2732,Office of Manufacturing,2730,2739,Books: publishing-printing,8,Books Printing and Publishing
2741,Miscellaneous Publishing,2740,2749,Misc publishing,8,Books Printing and Publishing
2741,Office of Manufacturing,2740,2749,Misc publishing,8,Books Printing and Publishing
2771,Greeting Cards,2770,2771,Greeting card,8,Books Printing and Publishing
2771,Office of Manufacturing,2770,2771,Greeting card,8,Books Printing and Publishing
2780,Office of Manufacturing,2780,2789,Bookbinding,8,Books Printing and Publishing
2782,"Blankbooks, Looseleaf Binders and Devices",2780,2789,Bookbinding,8,Books Printing and Publishing
2789,Bookbinding and Related Work,2780,2789,Bookbinding,8,Books Printing and Publishing
2790,Office of Manufacturing,2790,2799,Service industries for the print trade,8,Books Printing and Publishing
2791,Typesetting,2790,2799,Service industries for the print trade,8,Books Printing and Publishing
2796,Platemaking and Related Services,2790,2799,Service industries for the print trade,8,Books Printing and Publishing
2047,Dog and Cat Food,2047,2047,Dog and cat food,9,Hshld Consumer Goods
2391,Curtains and Draperies,2391,2392,"Curtains, home furnishings",9,Hshld Consumer Goods
2392,"House furnishing, Except Curtains and Draperies",2391,2392,"Curtains, home furnishings",9,Hshld Consumer Goods
2510,Office of Manufacturing,2510,2519,Household furniture,9,Hshld Consumer Goods
2511,"Wood Household Furniture, Except Upholstered",2510,2519,Household furniture,9,Hshld Consumer Goods
2511,Office of Manufacturing,2510,2519,Household furniture,9,Hshld Consumer Goods
2512,"Wood Household Furniture, Upholstered",2510,2519,Household furniture,9,Hshld Consumer Goods
2514,Metal Household Furniture,2510,2519,Household furniture,9,Hshld Consumer Goods
2515,"Mattresses, Foundations, and Convertible Beds",2510,2519,Household furniture,9,Hshld Consumer Goods
2517,"Wood Television, Radio, Phonograph, and Sewing Machine Cabinets",2510,2519,Household furniture,9,Hshld Consumer Goods
2519,"Household Furniture, Not Elsewhere Classified",2510,2519,Household furniture,9,Hshld Consumer Goods
2590,Office of Manufacturing,2590,2599,Misc furniture and fixtures,9,Hshld Consumer Goods
2591,Drapery Hardware and Window Blinds and Shades,2590,2599,Misc furniture and fixtures,9,Hshld Consumer Goods
2599,"Furniture and Fixtures, Not Elsewhere Classified",2590,2599,Misc furniture and fixtures,9,Hshld Consumer Goods
2840,Industrial Applications and Services,2840,2843,Soap & other detergents,9,Hshld Consumer Goods
2841,"Soap and Other Detergents, Except Specialty Cleaners",2840,2843,Soap & other detergents,9,Hshld Consumer Goods
2842,"Specialty Cleaning, Polishing, and Sanitation Preparations",2840,2843,Soap & other detergents,9,Hshld Consumer Goods
2842,Industrial Applications and Services,2840,2843,Soap & other detergents,9,Hshld Consumer Goods
2843,"Surface Active Agents, Finishing Agents, Sulfonated Oils, and Assistants",2840,2843,Soap & other detergents,9,Hshld Consumer Goods
2844,"Perfumes, Cosmetics, and Other Toilet Preparations",2844,2844,"Perfumes, cosmetics and other toilet preparations",9,Hshld Consumer Goods
2844,Industrial Applications and Services,2844,2844,"Perfumes, cosmetics and other toilet preparations",9,Hshld Consumer Goods
3161,Luggage,3160,3161,Luggage,9,Hshld Consumer Goods
3171,Women's Handbags and Purses,3170,3171,Handbags and purses,9,Hshld Consumer Goods
3172,"Personal Leather Goods, Except Women's Handbags and Purses",3172,3172,"Personal leather goods, except handbags and purses",9,Hshld Consumer Goods
3199,"Leather Goods, Not Elsewhere Classified",3190,3199,Leather goods,9,Hshld Consumer Goods
3229,"Pressed and Blown Glass and Glassware, Not Elsewhere Classified",3229,3229,Pressed and blown glass,9,Hshld Consumer Goods
3231,"Glass Products, Made of Purchased Glass",3230,3231,Glass products,9,Hshld Consumer Goods
3231,Office of Manufacturing,3230,3231,Glass products,9,Hshld Consumer Goods
3260,Office of Manufacturing,3260,3260,Pottery and related products,9,Hshld Consumer Goods
3262,Vitreous China Table and Kitchen Articles,3262,3263,China and earthenware table articles,9,Hshld Consumer Goods
3263,Fine Earthenware (Whiteware) Table and Kitchen Articles,3262,3263,China and earthenware table articles,9,Hshld Consumer Goods
3269,"Pottery Products, Not Elsewhere Classified",3269,3269,Pottery products,9,Hshld Consumer Goods
3630,Office of Manufacturing,3630,3639,Household appliances,9,Hshld Consumer Goods
3631,Household Cooking Equipment,3630,3639,Household appliances,9,Hshld Consumer Goods
3632,Household Refrigerators and HOme and Farm Freezers,3630,3639,Household appliances,9,Hshld Consumer Goods
3633,Household Laundry Equipment,3630,3639,Household appliances,9,Hshld Consumer Goods
3634,Electric Housewares and Fans,3630,3639,Household appliances,9,Hshld Consumer Goods
3634,Office of Manufacturing,3630,3639,Household appliances,9,Hshld Consumer Goods
3635,Household Vacuum Cleaners,3630,3639,Household appliances,9,Hshld Consumer Goods
3639,"Household Appliances, Not Elsewhere Classified",3630,3639,Household appliances,9,Hshld Consumer Goods
3751,"Motorcycles, Bicycles, and Parts",3750,3751,"Motorcycles, bicycles and parts (Harley & Huffy)",9,Hshld Consumer Goods
3751,Office of Manufacturing,3750,3751,"Motorcycles, bicycles and parts (Harley & Huffy)",9,Hshld Consumer Goods
3861,Photographic Equipment and Supplies,3860,3861,"Photographic equipment (Kodak etc, but also Xerox)",9,Hshld Consumer Goods
3861,Industrial Applications and Services,3860,3861,"Photographic equipment (Kodak etc, but also Xerox)",9,Hshld Consumer Goods
3873,"Watches, Clocks, Clockwork Operated Devices, and Parts",3870,3873,"Watches, clocks and parts",9,Hshld Consumer Goods
3873,Industrial Applications and Services,3870,3873,"Watches, clocks and parts",9,Hshld Consumer Goods
3910,Office of Manufacturing,3910,3911,"Jewelry, precious metals",9,Hshld Consumer Goods
3911,"Jewelry, Precious Metal",3910,3911,"Jewelry, precious metals",9,Hshld Consumer Goods
3911,Office of Manufacturing,3910,3911,"Jewelry, precious metals",9,Hshld Consumer Goods
3914,"Silverware, Plated Ware, and Stainless Steel Ware",3914,3914,Silverware,9,Hshld Consumer Goods
3915,"Jewelers' Findings and Materials, and Lapidary Work",3915,3915,Jewelers' findings and materials,9,Hshld Consumer Goods
3960,Office of Manufacturing,3960,3962,Costume jewelry and novelties,9,Hshld Consumer Goods
3961,"Costume Jewelry and Costume Novelties, Except Precious Metal",3960,3962,Costume jewelry and novelties,9,Hshld Consumer Goods
3991,Brooms and Brushes,3991,3991,Brooms and brushes,9,Hshld Consumer Goods
3995,Burial Caskets,3995,3995,Burial caskets,9,Hshld Consumer Goods
2300,Office of Manufacturing,2300,2390,Apparel and other finished products,10,Clths Apparel
2311,"Men's and Boys' Suits, Coats, and Overcoats",2300,2390,Apparel and other finished products,10,Clths Apparel
2320,Office of Manufacturing,2300,2390,Apparel and other finished products,10,Clths Apparel
2321,"Men's and Boys' Shirts, Except Work Shirts",2300,2390,Apparel and other finished products,10,Clths Apparel
2322,Men's and Boys' Underwear and Nightwear,2300,2390,Apparel and other finished products,10,Clths Apparel
2323,Men's and Boys' Neckwear,2300,2390,Apparel and other finished products,10,Clths Apparel
2325,Men's and Boys' Separate Trousers and Slacks,2300,2390,Apparel and other finished products,10,Clths Apparel
2326,Men's and Boys' Work Clothing,2300,2390,Apparel and other finished products,10,Clths Apparel
2329,"Men's and Boys' Clothing, Not Elsewhere Classified",2300,2390,Apparel and other finished products,10,Clths Apparel
2330,Office of Manufacturing,2300,2390,Apparel and other finished products,10,Clths Apparel
2331,"Women's, Misses', and Juniors' Blouses and Shirts",2300,2390,Apparel and other finished products,10,Clths Apparel
2335,"Women's, Misses', and Juniors' Dresses",2300,2390,Apparel and other finished products,10,Clths Apparel
2337,"Women's, Misses', and Juniors' Suits, Skirts, and Coats",2300,2390,Apparel and other finished products,10,Clths Apparel
2339,"Women's, Misses', and Juniors' Outerwear, Not Elsewhere Classified",2300,2390,Apparel and other finished products,10,Clths Apparel
2340,Office of Manufacturing,2300,2390,Apparel and other finished products,10,Clths Apparel
2341,"Women's, Misses', Children's, and Infants' Underwear and Nightwear",2300,2390,Apparel and other finished products,10,Clths Apparel
2342,"Brassieres, Girdles, and Allied Garments",2300,2390,Apparel and other finished products,10,Clths Apparel
2353,"Hats, Caps, and Millinery",2300,2390,Apparel and other finished products,10,Clths Apparel
2361,"Girls', Children's, and Infants' Dresses, Blouses, and Shirts",2300,2390,Apparel and other finished products,10,Clths Apparel
2369,"Girls', Children's, and Infants' Outerwear, Not Elsewhere Classified",2300,2390,Apparel and other finished products,10,Clths Apparel
2371,Fur Goods,2300,2390,Apparel and other finished products,10,Clths Apparel
2381,"Dress and Work Gloves, Except Knit and All-Leather",2300,2390,Apparel and other finished products,10,Clths Apparel
2384,Robes and Dressing Gowns,2300,2390,Apparel and other finished products,10,Clths Apparel
2385,Waterproof Outerwear,2300,2390,Apparel and other finished products,10,Clths Apparel
2386,Leather and Sheep-Lined Clothing,2300,2390,Apparel and other finished products,10,Clths Apparel
2387,Apparel belts,2300,2390,Apparel and other finished products,10,Clths Apparel
2389,"Apparel and Accessories, Not Elsewhere Classified",2300,2390,Apparel and other finished products,10,Clths Apparel
2390,Office of Manufacturing,2300,2390,Apparel and other finished products,10,Clths Apparel
3021,Rubber and Plastics Footwear,3020,3021,Rubber and plastics footwear,10,Clths Apparel
3021,Office of Manufacturing,3020,3021,Rubber and plastics footwear,10,Clths Apparel
3100,Office of Manufacturing,3100,3111,Leather tanning and finishing,10,Clths Apparel
3111,Leather Tanning and Finishing,3100,3111,Leather tanning and finishing,10,Clths Apparel
3131,Boot and Shoe Cut Stock and Findings,3130,3131,Boot & shoe cut stock & findings,10,Clths Apparel
3140,Office of Manufacturing,3140,3149,"Footwear, except rubber",10,Clths Apparel
3142,House Slippers,3140,3149,"Footwear, except rubber",10,Clths Apparel
3143,"Men's Footwear, Except Athletic",3140,3149,"Footwear, except rubber",10,Clths Apparel
3144,"Women's Footwear, Except Athletic",3140,3149,"Footwear, except rubber",10,Clths Apparel
3149,"Footwear, Except Rubber, Not Elsewhere Classified",3140,3149,"Footwear, except rubber",10,Clths Apparel
3151,Leather Gloves and Mittens,3150,3151,Leather gloves and mittens,10,Clths Apparel
3965,"Fasteners, Buttons, Needles, and Pins",3963,3965,"Fasteners, buttons, needles, pins",10,Clths Apparel
8000,Industrial Applications and Services,8000,8099,Services - health,11,Hlth Healthcare
8011,Offices and Clinics of Doctors of Medicine,8000,8099,Services - health,11,Hlth Healthcare
8011,Industrial Applications and Services,8000,8099,Services - health,11,Hlth Healthcare
8021,Offices and Clinics of Dentists,8000,8099,Services - health,11,Hlth Healthcare
8031,Offices and Clinics of Doctors of Osteopathy,8000,8099,Services - health,11,Hlth Healthcare
8041,Offices and Clinics of Chiropractors,8000,8099,Services - health,11,Hlth Healthcare
8042,Offices and Clinics of Optometrists,8000,8099,Services - health,11,Hlth Healthcare
8043,Offices and Clinics of Podiatrists,8000,8099,Services - health,11,Hlth Healthcare
8049,"Offices and Clinics of Health Practitioners, Not Elsewhere Classified",8000,8099,Services - health,11,Hlth Healthcare
8050,Industrial Applications and Services,8000,8099,Services - health,11,Hlth Healthcare
8051,Skilled Nursing Care Facilities,8000,8099,Services - health,11,Hlth Healthcare
8051,Industrial Applications and Services,8000,8099,Services - health,11,Hlth Healthcare
8052,Intermediate Care Facilities,8000,8099,Services - health,11,Hlth Healthcare
8059,"Nursing and Personal Care Facilities, Not Elsewhere Classified",8000,8099,Services - health,11,Hlth Healthcare
8060,Industrial Applications and Services,8000,8099,Services - health,11,Hlth Healthcare
8062,General Medical and Surgical Hospitals,8000,8099,Services - health,11,Hlth Healthcare
8062,Industrial Applications and Services,8000,8099,Services - health,11,Hlth Healthcare
8063,Psychiatric Hospitals,8000,8099,Services - health,11,Hlth Healthcare
8069,"Specialty Hospitals, Except Psychiatric",8000,8099,Services - health,11,Hlth Healthcare
8071,Medical Laboratories,8000,8099,Services - health,11,Hlth Healthcare
8071,Industrial Applications and Services,8000,8099,Services - health,11,Hlth Healthcare
8072,Dental Laboratories,8000,8099,Services - health,11,Hlth Healthcare
8082,Home Health Care Services,8000,8099,Services - health,11,Hlth Healthcare
8082,Industrial Applications and Services,8000,8099,Services - health,11,Hlth Healthcare
8090,Industrial Applications and Services,8000,8099,Services - health,11,Hlth Healthcare
8092,Kidney Dialysis Centers,8000,8099,Services - health,11,Hlth Healthcare
